<<<<<<< HEAD:sepsisRam/scalability_70.csv
num_users,user_id,start_time,end_time,status,details,ram_avg_bytes
70,1,1752697709.7047331,1752697710.1920643,SUCCESS,200,9446315.00
70,2,1752697709.707457,1752697710.6735394,SUCCESS,200,11002096.33
70,6,1752697709.7143145,1752697711.1630547,SUCCESS,200,10941155.17
70,3,1752697709.7096207,1752697711.6404784,SUCCESS,200,10839048.51
70,4,1752697709.7110717,1752697712.1195474,SUCCESS,200,10169402.21
70,7,1752697709.7157242,1752697712.6052463,SUCCESS,200,9937661.33
70,8,1752697709.7163215,1752697713.08211,SUCCESS,200,10972622.30
70,5,1752697709.713284,1752697713.5730352,SUCCESS,200,9510499.59
70,10,1752697709.7207756,1752697714.0551395,SUCCESS,200,9857783.67
70,11,1752697709.722827,1752697714.5453157,SUCCESS,200,9414408.33
70,13,1752697709.72574,1752697715.0274045,SUCCESS,200,10691885.67
70,9,1752697709.719053,1752697715.526497,SUCCESS,200,9425350.20
70,12,1752697709.7240198,1752697716.0101886,SUCCESS,200,10037741.17
70,14,1752697709.7275417,1752697716.497138,SUCCESS,200,9810293.67
70,15,1752697709.7286632,1752697716.9824224,SUCCESS,200,9290828.67
70,16,1752697709.7305744,1752697717.4692826,SUCCESS,200,9405394.00
70,17,1752697709.731483,1752697717.9532487,SUCCESS,200,10580822.50
70,19,1752697709.733256,1752697718.4327326,SUCCESS,200,9533737.70
70,18,1752697709.7324562,1752697718.917842,SUCCESS,200,9083208.67
70,21,1752697709.735147,1752697719.4058292,SUCCESS,200,10300806.33
70,23,1752697709.7387352,1752697719.8880918,SUCCESS,200,9693464.00
70,22,1752697709.7365022,1752697720.371207,SUCCESS,200,9112521.33
70,20,1752697709.7342567,1752697720.8523395,SUCCESS,200,9323630.30
70,25,1752697709.7412708,1752697721.336734,SUCCESS,200,10152370.33
70,26,1752697709.7424371,1752697721.8145998,SUCCESS,200,10602586.04
70,27,1752697709.7435813,1752697722.311979,SUCCESS,200,9462152.82
70,24,1752697709.7400823,1752697722.8018286,SUCCESS,200,8812611.92
70,28,1752697709.7444808,1752697723.285272,SUCCESS,200,8975923.50
70,29,1752697709.7459946,1752697723.7661467,SUCCESS,200,9857133.17
70,30,1752697709.7472212,1752697724.2459037,SUCCESS,200,9506208.85
70,31,1752697709.7479734,1752697724.7276194,SUCCESS,200,10815452.67
70,32,1752697709.7486062,1752697725.2130272,SUCCESS,200,8821041.83
70,33,1752697709.7496607,1752697725.696262,SUCCESS,200,10052172.17
70,34,1752697709.7509346,1752697726.176667,SUCCESS,200,10688638.00
70,35,1752697709.751957,1752697726.6664293,SUCCESS,200,9234426.17
70,36,1752697709.7531471,1752697727.149601,SUCCESS,200,10301215.33
70,38,1752697709.7552855,1752697727.6406233,SUCCESS,200,9045354.94
70,37,1752697709.7542474,1752697728.1280363,SUCCESS,200,8851907.83
70,39,1752697709.7562885,1752697728.607552,SUCCESS,200,9468894.98
70,41,1752697709.759256,1752697729.0944967,SUCCESS,200,9277522.17
70,40,1752697709.7573924,1752697729.5812252,SUCCESS,200,9354161.83
70,42,1752697709.7606587,1752697730.0680757,SUCCESS,200,9387432.67
70,43,1752697709.761731,1752697730.5579247,SUCCESS,200,10203839.67
